5.46551 12211.66801 1046.0
6.23250 10999.71155 942.0
7.48515 6567.60223 446.0
7.84628 5725.75169 490.0
8.26220 3401.55597 291.0
8.98297 2806.87035 291.0
10.42868 1518.34446 130.0
11.05620 1098.57159 107.0
12.07314 544.50989 43.0
12.65542 341.66985 27.0
13.67754 127.36408 12.0
14.21320 74.83496 6.4
15.46008 61.39663 4.2
17.17199 103.79409 8.9
18.74613 128.41033 10.2
19.70470 113.76851 9.7
20.80512 110.02288 9.4
21.19026 95.39452 7.0
22.05618 71.71029 6.6
22.72758 64.42001 5.9
22.53954 53.91761 4.6
23.69894 28.22731 2.6
24.13230 23.94309 1.9
26.02541 5.07366 0.68
27.51431 3.54085 0.5
28.98629 6.27218 0.83
30.70119 8.99621 1.02
31.99509 7.71125 1.0
32.61484 8.55438 1.04
35.44282 5.91680 0.869
36.54832 4.32703 0.608
37.04135 1.91215 0.245
37.95637 1.33855 0.205
39.66657 0.17903 0.095
41.27708 0.41591 0.167
42.51071 0.70717 0.213
42.99795 0.42941 0.189
44.08783 0.74228 0.208
44.55686 1.22849 0.418
45.95854 0.53964 0.195
47.58169 0.62513 0.152
48.99093 0.18107 0.075
51.05401 0.12393 0.066
52.63203 0.12382 0.0655
