6.208 2576.21 134.977
7.893 1853.77 86.088
9.715 1253.21 61.924
11.503 866.656 50.597
12.991 569.827 28.77
13.31 569.827 25.829
14.781 326.071 17.589
16.72 158.335 12.983
18.39 70.362 4.284
20.187 20.538 2.653
22.115 4.056 1.048
23.417 2.261 0.267
23.717 3.027 0.449
23.788 3.679 0.992
25.203 7.446 0.61
25.502 9.037 0.709
27.126 11.908 0.684
27.385 12.969 0.835
28.888 14.741 0.795
29.187 14.741 0.846
30.62 13.987 1.473
30.909 11.947 1.28
31.128 12.346 1.144
32.919 9.843 0.842
33.72 8.203 1.511
34.71 6.95 0.669
35.515 5.206 1.112
36.381 4.003 0.637
37.4 2.621 0.677
39.193 0.778 0.394
40.2 1.131 0.154
40.914 0.494 0.361
42.007 0.255 0.06
43.8 0.081 0.033
45.197 0.218 0.061
45.61 0.239 0.058
47.005 0.267 0.066
47.302 0.186 0.056
48.799 0.54 0.092
50.609 0.341 0.053
52.312 0.355 0.056
53.816 0.444 0.105
54.103 0.289 0.068
55.615 0.208 0.064
55.916 0.384 0.079
57.316 0.137 0.051
57.634 0.106 0.047
59.117 0.107 0.046
