6.208 2576.214
6.208 2711.191
7.893 1853.769
7.893 1939.857
9.715 1253.206
9.715 1315.130
11.503 866.656
11.503 917.253
12.991 569.827
12.991 598.597
13.310 569.827
13.311 595.656
14.781 326.071
14.781 343.660
16.720 158.335
16.721 171.318
18.390 70.362
18.390 74.646
20.187 20.538
20.187 23.191
22.115 4.056
22.115 5.104
23.417 2.261
23.407 2.528
23.717 3.027
23.720 3.476
23.788 3.679
23.788 4.671
25.203 7.446
25.203 8.056
25.502 9.037
25.502 9.746
27.126 11.908
27.116 12.592
27.385 12.969
27.385 13.804
28.888 14.741
28.888 15.536
29.187 14.741
29.182 15.587
30.620 13.987
30.616 15.460
30.909 11.947
30.899 13.227
31.128 12.346
31.133 13.490
32.919 9.843
32.919 10.685
33.720 8.203
33.715 9.714
34.710 6.950
34.710 7.619
35.515 5.206
35.506 6.318
36.381 4.003
36.391 4.640
37.400 2.621
37.395 3.298
39.193 0.778
39.194 1.172
40.200 1.131
40.200 1.285
40.914 0.494
40.916 0.855
42.007 0.255
41.998 0.315
43.800 0.081
43.801 0.114
45.197 0.218
45.183 0.279
45.610 0.239
45.611 0.297
47.005 0.267
46.995 0.333
47.302 0.186
47.303 0.242
48.799 0.540
48.809 0.632
50.609 0.341
50.600 0.394
52.312 0.355
52.312 0.411
53.816 0.444
53.826 0.549
54.103 0.289
54.114 0.357
55.615 0.208
55.616 0.272
55.916 0.384
55.906 0.463
57.316 0.137
57.317 0.188
57.634 0.106
57.635 0.153
59.117 0.107
59.109 0.153

